ï»¿Source.Name,Column1,id,date,source,place,username,Content,hashtags,Likes,processed_text
wolvesEOS_analysisV1hashtag.xlsx,31,1.51104e+18,04/04/2022 17:58,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,1Springhead,SIGN: Stop #Government Killing of #Endangered #Washington #Wolves @WDFW #WDFW https://t.co/EocFS5rIVw,"['Government', 'Endangered', 'Washington', 'Wolves', 'WDFW']",0,sign stop  killing of
wolvesEOS_analysisV1hashtag.xlsx,32,1.51103e+18,04/04/2022 17:19,"<a href=""http://overcoffee.test/"" rel=""nofollow"">OverCoffee</a>",,OverCoffeeCo,"ICYMI

Wolves Over Coffee

Issue 4th April, 2022

Featuring @WWFCFancast @WolvesHeroes

#WOL #Wolves #wwfc
https://t.co/5u2OCunizA","['WOL', 'Wolves', 'wwfc']",0,"icymi

wolves over coffee

issue 4th april 2022

featuring"
wolvesEOS_analysisV1hashtag.xlsx,33,1.51103e+18,04/04/2022 17:13,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,FAppreciationyt,"Ruben Neves To Barcelona?  https://t.co/n3G9Wmucfg 
- Matheus Nunes/ Joao Palhinha Adequate Potential Replacements?
- Selling Neves Early &amp; Abroad Not A Bad Thing?
- Effects On Adama/ Trincao Deals? 
#wwfc #Wolves","['wwfc', 'Wolves']",4,"ruben neves to barcelona   
 matheus nunes joao palhinha adequate potential replacements
 selling neves early amp abroad not a bad thing
 effects on adama trincao deals"
wolvesEOS_analysisV1hashtag.xlsx,34,1.51103e+18,04/04/2022 17:07,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">Wolverhampton Rooter</a>",,WolvesRooter,"HOLTECAST | Wolves 2-1 Aston Villa - Lacking An Identity
#WOL #Wolves #WWFC
https://t.co/brAmJRw2YE","['WOL', 'Wolves', 'WWFC']",0,holtecast  wolves 21 aston villa  lacking an identity
wolvesEOS_analysisV1hashtag.xlsx,35,1.51103e+18,04/04/2022 17:06,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",,mightywolvesfan,"New time for visit of Norwich #wolves #wwfc 
https://t.co/Rc3RoqzBPb","['wolves', 'wwfc']",0,new time for visit of norwich
wolvesEOS_analysisV1hashtag.xlsx,36,1.51103e+18,04/04/2022 17:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,Stehle_W,"Hey guys, i heard about this project a month ago. It is so amazing what they wanna do. Join the TG group to take this to moon. 
#wenmarketingcc
#wen
#Wolves

https://t.co/z2R1wV2FWS","['wenmarketingcc', 'wen', 'Wolves']",3,hey guys i heard about this project a month ago it is so amazing what they wanna do join the tg group to take this to moon
wolvesEOS_analysisV1hashtag.xlsx,37,1.51103e+18,04/04/2022 17:00,"<a href=""https://social.zoho.com"" rel=""nofollow"">Zoho Social</a>",,_AlwaysWolves,"Great competition from @football_prizes   to win a 2021/22 Wolves Squad signed &amp; framed Shirt! ðº

Competition closes Wed 6th April at 7:30pm with the live draw shortly after.

Good Luck ð§¡ 
https://t.co/eeBCSxaSFX  
#wwfc #coyw #wolves #wolvesfc https://t.co/GHNqGNo1T7","['wwfc', 'coyw', 'wolves', 'wolvesfc']",8,"great competition from    to win a 202122 wolves squad signed amp framed shirt ðº

competition closes wed 6th april at 730pm with the live draw shortly after

good luck ð"
wolvesEOS_analysisV1hashtag.xlsx,38,1.51102e+18,04/04/2022 16:20,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,Artshi3,"Same thing as the last tweet, the same animals in different game styles. Guess them! ^^
Again, would appreciate you filling this survey in for the sake of my uni grades &lt;3 https://t.co/5egFWpBLkg
#artistsontwitter #gameart #Wolves https://t.co/7w1aIeY57D","['artistsontwitter', 'gameart', 'Wolves']",1,"same thing as the last tweet the same animals in different game styles guess them 
again would appreciate you filling this survey in for the sake of my uni grades lt3"
wolvesEOS_analysisV1hashtag.xlsx,39,1.51101e+18,04/04/2022 16:08,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,afreereader,Dear @POTUS and @SecDebHaaland: A slaughter of gray #wolves is currently taking place on your watch. I call on you to immediately issue emergency relisting protections for the gray #wolf in the Northern Rocky Mountains.,"['wolves', 'wolf']",0,dear  and  a slaughter of gray  is currently taking place on your watch i call on you to immediately issue emergency relisting protections for the gray  in the northern rocky mountains
wolvesEOS_analysisV1hashtag.xlsx,40,1.51101e+18,04/04/2022 16:00,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",,NorthEdgeHockey,"The game tonight marks the last contest that wonât feature the Sudbury #Wolves or the Flint #Firebirds. The #Greyhounds will play the Wolves x3 and the Firebirds x2 to close out the 2021-22 regular season.

#OHL","['Wolves', 'Firebirds', 'Greyhounds', 'OHL']",0,the game tonight marks the last contest that wonât feature the sudbury  or the flint  the  will play the wolves x3 and the firebirds x2 to close out the 202122 regular season
wolvesEOS_analysisV1hashtag.xlsx,41,1.51101e+18,04/04/2022 15:53,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,LastWordFC,"Transfer news is certainly heating up regarding the Midlands club.

#Wolves 
https://t.co/N4ZE4McSXq",['Wolves'],1,transfer news is certainly heating up regarding the midlands club
wolvesEOS_analysisV1hashtag.xlsx,42,1.511e+18,04/04/2022 15:26,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,LastWordFC,"According to reports, the midfielderâs next destination has become clear, should he leave Wolves this summer.

#Wolves #Neves 
https://t.co/ApjWz9Rqeo","['Wolves', 'Neves']",3,according to reports the midfielderâs next destination has become clear should he leave wolves this summer
wolvesEOS_analysisV1hashtag.xlsx,43,1.511e+18,04/04/2022 15:18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,im_man_magic,Question! Does @JoaoMoutinho love a Vino? Have we had confirmation? #WWFC #Wolves #MidfieldMagician @Wolves @WolvesPRT #HeLovesAVino ðµð¹ðºâ½ï¸ð§¡ð¤ð§¡,"['WWFC', 'Wolves', 'MidfieldMagician', 'HeLovesAVino']",0,question does  love a vino have we had confirmation       ðµð¹ðºâ½ïððð
wolvesEOS_analysisV1hashtag.xlsx,44,1.511e+18,04/04/2022 15:15,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,Karen5Lund,"States are now allowing the senseless slaughter of gray #wolves. I just sent a letter to @SecDebHaaland  urging her to restore Endangered Species Act protections to gray wolves. 

Will you join me? via @NRDC https://t.co/455LntTEmY",['wolves'],0,"states are now allowing the senseless slaughter of gray  i just sent a letter to   urging her to restore endangered species act protections to gray wolves 

will you join me via"
wolvesEOS_analysisV1hashtag.xlsx,45,1.51099e+18,04/04/2022 14:57,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,CoachSlater25,"Footwork is improvingâ¼ï¸

Throwing motion has improvedâ¼ï¸

Love seeing the progress, Alexâ¼ï¸ BIG THINGS ahead for youâ¼ï¸Proud of you my guyâ¼ï¸

#WOLVES",['WOLVES'],5,"footwork is improvingâ¼ï

throwing motion has improvedâ¼ï

love seeing the progress alexâ¼ï big things ahead for youâ¼ïproud of you my guyâ¼ï"
wolvesEOS_analysisV1hashtag.xlsx,46,1.51099e+18,04/04/2022 14:38,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,MascotDesigns1,"thank you to the WOLF BASKETBALL fan who bought a kids Tshirt on our TeePublic site! 11 color choices

@TeePublic #teepublic #SpringForArt #ThisSpringBuyArt #Wolves #Wolfpack #NCAAWBB #NCAAMBB #basketball #hoops ðºð

other mascots/sports/products/designs

https://t.co/TziscTvVO9 https://t.co/5lXtsihLuR","['teepublic', 'SpringForArt', 'ThisSpringBuyArt', 'Wolves', 'Wolfpack', 'NCAAWBB', 'NCAAMBB', 'basketball', 'hoops']",16,"thank you to the wolf basketball fan who bought a kids tshirt on our teepublic site 11 color choices

          ðºð

other mascotssportsproductsdesigns"
wolvesEOS_analysisV1hashtag.xlsx,47,1.51099e+18,04/04/2022 14:24,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,bctype,New prints on their way to customers! #southbank #wolves @Wolves #Molineux #FWAW #ayit https://t.co/MagvZ0Tk4M,"['southbank', 'wolves', 'Molineux', 'FWAW', 'ayit']",19,new prints on their way to customers
